run_id,mode,experiment,priority,description,status,n_splits,params,duration_sec,valid_n_eval_mean,valid_n_eval_total,valid_recall@5_mean,valid_recall@5_std,valid_recall@5_se,valid_recall@5_micro,valid_recall@10_mean,valid_recall@10_std,valid_recall@10_se,valid_recall@10_micro,valid_recall@20_mean,valid_recall@20_std,valid_recall@20_se,valid_recall@20_micro,valid_recall@30_mean,valid_recall@30_std,valid_recall@30_se,valid_recall@30_micro,valid_recall@50_mean,valid_recall@50_std,valid_recall@50_se,valid_recall@50_micro,valid_recall@100_mean,valid_recall@100_std,valid_recall@100_se,valid_recall@100_micro,valid_recall@5_comparison_baseline,valid_recall@5_delta_vs_baseline,valid_recall@5_wins_vs_baseline,valid_recall@5_losses_vs_baseline,valid_recall@5_ties_vs_baseline,valid_recall@5_n_compared_vs_baseline
20260624T184643Z,cv,rrf_sparse_legal_lemma_char,P0,Sparse fusion: legal-aware lemmatized BM25 doc/chunk plus char TF-IDF.,ok,5,"{'members': ['bm25_legal_lemma_doc', 'bm25_legal_lemma_chunk_line_10_5_max', 'tfidf_char_doc_3_5'], 'rrf_k': 60, 'rank_depth': 100}",10.036378,107.8,539,0.48791969539633095,0.06957649659091832,0.031115555202715146,0.48794063079777367,0.632692973347179,0.04379774686551261,0.019586947850522906,0.6326530612244898,0.7588785046728972,0.046386245889831854,0.020744559806136847,0.7588126159554731,0.8274835583246798,0.03164167531290979,0.014150587384328643,0.8274582560296846,0.8906022845275181,0.03281367296787231,0.014674720669521952,0.8905380333951762,0.955503634475597,0.018919101595685387,0.008460879448235453,0.9554730983302412,rrf_sparse_legal_lemma_char,0.0,0,0,539,539
20260624T184643Z,cv,bm25_legal_lemma_chunk_line_10_5_max_rd300,P0,Current legal line 10/5 chunk BM25 with deeper chunk rank_depth=300.,ok,5,"{'config': {'k1': 1.5, 'b': 0.75, 'lemmatize': True, 'preserve_legal_refs': True, 'legal_stop_words': True, 'min_len': 2}, 'chunk': {'unit': 'line', 'size': 10, 'overlap': 5}, 'aggregation': 'max', 'rank_depth': 300}",4.598294,107.8,539,0.46943579093111804,0.08015730756902067,0.035847437723537726,0.46938775510204084,0.5919003115264798,0.08244396114375271,0.03687006029035647,0.5918367346938775,0.7161993769470405,0.07073403177973092,0.031633220676421756,0.7161410018552876,0.786742817583939,0.04443326726915122,0.019871161215247714,0.7866419294990723,0.8794738663897543,0.03964562531077165,0.017730062641074327,0.8794063079777366,0.9406888196607822,0.028164733277280484,0.012595651635229918,0.9406307977736549,rrf_sparse_legal_lemma_char,-0.01855287569573284,32,42,465,539
20260624T184643Z,cv,bm25_legal_lemma_chunk_line_10_5_max_rd600,P0,Current legal line 10/5 chunk BM25 with deeper chunk rank_depth=600.,ok,5,"{'config': {'k1': 1.5, 'b': 0.75, 'lemmatize': True, 'preserve_legal_refs': True, 'legal_stop_words': True, 'min_len': 2}, 'chunk': {'unit': 'line', 'size': 10, 'overlap': 5}, 'aggregation': 'max', 'rank_depth': 600}",6.485674,107.8,539,0.46943579093111804,0.08015730756902067,0.035847437723537726,0.46938775510204084,0.5919003115264798,0.08244396114375271,0.03687006029035647,0.5918367346938775,0.7161993769470405,0.07073403177973092,0.031633220676421756,0.7161410018552876,0.786742817583939,0.04443326726915122,0.019871161215247714,0.7866419294990723,0.8794738663897543,0.03964562531077165,0.017730062641074327,0.8794063079777366,0.9406888196607822,0.028164733277280484,0.012595651635229918,0.9406307977736549,rrf_sparse_legal_lemma_char,-0.01855287569573284,32,42,465,539
20260624T184643Z,cv,bm25_legal_lemma_chunk_line_10_5_max_rd1000,P0,Current legal line 10/5 chunk BM25 with deeper chunk rank_depth=1000.,ok,5,"{'config': {'k1': 1.5, 'b': 0.75, 'lemmatize': True, 'preserve_legal_refs': True, 'legal_stop_words': True, 'min_len': 2}, 'chunk': {'unit': 'line', 'size': 10, 'overlap': 5}, 'aggregation': 'max', 'rank_depth': 1000}",6.940235,107.8,539,0.46943579093111804,0.08015730756902067,0.035847437723537726,0.46938775510204084,0.5919003115264798,0.08244396114375271,0.03687006029035647,0.5918367346938775,0.7161993769470405,0.07073403177973092,0.031633220676421756,0.7161410018552876,0.786742817583939,0.04443326726915122,0.019871161215247714,0.7866419294990723,0.8794738663897543,0.03964562531077165,0.017730062641074327,0.8794063079777366,0.9406888196607822,0.028164733277280484,0.012595651635229918,0.9406307977736549,rrf_sparse_legal_lemma_char,-0.01855287569573284,32,42,465,539
20260624T184643Z,cv,bm25_legal_lemma_chunk_line_6_3_max_rd600,P0,"Legal-aware BM25 over line chunks 6/3, max, rank_depth=600.",ok,5,"{'config': {'k1': 1.5, 'b': 0.75, 'lemmatize': True, 'preserve_legal_refs': True, 'legal_stop_words': True, 'min_len': 2}, 'chunk': {'unit': 'line', 'size': 6, 'overlap': 3}, 'aggregation': 'max', 'rank_depth': 600}",6.552941,107.8,539,0.4824852890273451,0.08291300019911198,0.03707982093273359,0.48237476808905383,0.5974558670820354,0.096087931632093,0.04297182938934245,0.5974025974025974,0.6791623399100035,0.10652328335360402,0.04763866055302607,0.6790352504638218,0.7533402561439944,0.07127715653344383,0.03187611345033473,0.7532467532467533,0.8535479404638284,0.06442703685601257,0.028812646799785686,0.8534322820037106,0.920301142263759,0.04364078391338284,0.019516751884340662,0.9202226345083488,rrf_sparse_legal_lemma_char,-0.0055658627087198514,44,47,448,539
20260624T184643Z,cv,bm25_legal_lemma_chunk_line_6_3_top2_rd600,P1,"Legal-aware BM25 over line chunks 6/3, top2_mean, rank_depth=600.",ok,5,"{'config': {'k1': 1.5, 'b': 0.75, 'lemmatize': True, 'preserve_legal_refs': True, 'legal_stop_words': True, 'min_len': 2}, 'chunk': {'unit': 'line', 'size': 6, 'overlap': 3}, 'aggregation': 'top2_mean', 'rank_depth': 600}",5.726626,107.8,539,0.49539633091034957,0.08524759086717162,0.038123881619417196,0.49536178107606677,0.5918830044998269,0.0939505051372473,0.042015943201465636,0.5918367346938775,0.6995846313603323,0.09345340873321097,0.041793634931306445,0.699443413729128,0.7737279335410177,0.05737437263117793,0.02565859947394346,0.7736549165120594,0.8646590515749395,0.06551598313356438,0.029299638379875925,0.8645640074211502,0.9295604015230182,0.03493206931747676,0.015622096317722545,0.9294990723562152,rrf_sparse_legal_lemma_char,0.0074211502782931356,45,41,453,539
20260624T184643Z,cv,bm25_legal_lemma_chunk_line_6_3_max2_rd600,P1,"Legal-aware BM25 over line chunks 6/3, max_plus_second, rank_depth=600.",ok,5,"{'config': {'k1': 1.5, 'b': 0.75, 'lemmatize': True, 'preserve_legal_refs': True, 'legal_stop_words': True, 'min_len': 2}, 'chunk': {'unit': 'line', 'size': 6, 'overlap': 3}, 'aggregation': 'max_plus_second', 'rank_depth': 600}",6.334221,107.8,539,0.4806334371754932,0.07826081201539599,0.03499929912815155,0.4805194805194805,0.5715472481827623,0.09416007500573723,0.04210966569586146,0.5714285714285714,0.6606092073381793,0.10629403174503897,0.04753613611688554,0.660482374768089,0.7125475943232953,0.10905702221816857,0.048771783020705964,0.712430426716141,0.8034614053305642,0.08447388002361525,0.03777786761119305,0.8033395176252319,0.9128937348563518,0.053751052658969775,0.024038201521525446,0.9128014842300557,rrf_sparse_legal_lemma_char,-0.0074211502782931356,46,50,443,539
20260624T184643Z,cv,bm25_legal_lemma_chunk_line_6_3_softmax3_rd600,P1,"Legal-aware BM25 over line chunks 6/3, softmax_top3, rank_depth=600.",ok,5,"{'config': {'k1': 1.5, 'b': 0.75, 'lemmatize': True, 'preserve_legal_refs': True, 'legal_stop_words': True, 'min_len': 2}, 'chunk': {'unit': 'line', 'size': 6, 'overlap': 3}, 'aggregation': 'softmax_top3', 'rank_depth': 600}",5.949507,107.8,539,0.48433714087919694,0.08116031378796891,0.03629599574102239,0.4842300556586271,0.5974558670820354,0.096087931632093,0.04297182938934245,0.5974025974025974,0.6884562132225682,0.1073060845068774,0.04798873987134297,0.6883116883116883,0.7663032191069574,0.057299446121188806,0.025625091320012963,0.7662337662337663,0.859086188992731,0.05889555359389994,0.02633889228168846,0.8589981447124304,0.922152994115611,0.036120649867588166,0.01615364569907918,0.922077922077922,rrf_sparse_legal_lemma_char,-0.0037105751391465678,44,46,449,539
20260624T184643Z,cv,bm25_legal_lemma_chunk_line_8_4_max_rd600,P0,"Legal-aware BM25 over line chunks 8/4, max, rank_depth=600.",ok,5,"{'config': {'k1': 1.5, 'b': 0.75, 'lemmatize': True, 'preserve_legal_refs': True, 'legal_stop_words': True, 'min_len': 2}, 'chunk': {'unit': 'line', 'size': 8, 'overlap': 4}, 'aggregation': 'max', 'rank_depth': 600}",5.565947,107.8,539,0.4712184146763586,0.0862800975274134,0.038585632635321575,0.4712430426716141,0.5974212530287296,0.08336215991293182,0.037280691263304695,0.5974025974025974,0.703288335064036,0.10062939182300733,0.045002832130141175,0.7031539888682746,0.7755970924195223,0.05873949135842884,0.026269099128241668,0.7755102040816326,0.870231914157148,0.05178303877671986,0.02315807895725063,0.8701298701298701,0.9369851159570786,0.02875873784873157,0.01286129855537197,0.9369202226345084,rrf_sparse_legal_lemma_char,-0.016697588126159554,36,45,458,539
20260624T184643Z,cv,bm25_legal_lemma_chunk_line_8_4_top2_rd600,P1,"Legal-aware BM25 over line chunks 8/4, top2_mean, rank_depth=600.",ok,5,"{'config': {'k1': 1.5, 'b': 0.75, 'lemmatize': True, 'preserve_legal_refs': True, 'legal_stop_words': True, 'min_len': 2}, 'chunk': {'unit': 'line', 'size': 8, 'overlap': 4}, 'aggregation': 'top2_mean', 'rank_depth': 600}",5.899346,107.8,539,0.4842679127725857,0.08266457197857095,0.03696872045500178,0.4842300556586271,0.6048978885427484,0.0900142890275175,0.04025561384236851,0.6048237476808905,0.7236587054344064,0.07914343103048366,0.035394018351345535,0.7235621521335807,0.7848563516787816,0.04840866932045254,0.021649015060168086,0.7847866419294991,0.8776393215645552,0.039832818365181676,0.017813777919989653,0.8775510204081632,0.9369851159570786,0.029494608722055567,0.013190390014454888,0.9369202226345084,rrf_sparse_legal_lemma_char,-0.0037105751391465678,36,38,465,539
